conclusion_date1,conclusion_date2,incident_info,incident_type,incident_description,fatalities,fatalities_description,area,registry,aircraft_type,aircraft_info,area_info
03/2010,28/04/2010,"11/08/2008
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Ελικόπτερο υπέστη σοβαρές ζημιές κατά την εκτέλεση αναγκαστικής προσγείωσης λόγω πτώσης ισχύος του κινητήρα""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=2&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Ελικόπτερο,Μικρό / Ελαφρύ,ΒΟΡΕΙΟ-ΔΥΤΙΚΗ ΠΑΡΑΛΙΑ ΤΗΣ ΝΗΣΟΥ ΚΥΘΝΟΥΝηολόγιο(α): SX-HVPΕλικόπτεροΜικρό / Ελαφρύ
02/2010,14/04/2010,"04/01/2009
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Θανάσιμος τραυματισμός αλεξιπτωτιστή ελευθέρας πτώσης από σύγκρουση με δέντρο""><br/></span>",Θανάσιμος τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=1                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Νηολόγιο(α): -,Αλεξίπτωτο ελεύθερης πτώσης,Στρατιωτικό Αεροδρόμιο ΤυμπακίουΝηολόγιο(α): -Αλεξίπτωτο ελεύθερης πτώσης
01/2010,14/01/2010,"30/11/2008
ΣΟΒΑΡΟ ΣΥΜΒΑΝ",ΣΟΒΑΡΟ ΣΥΜΒΑΝ,"<span span="""" uk-icon=""info"" uk-tooltip=""Επιβατικό αεροπλάνο επιχείρησε προσγείωση σε τμήμα του διαδρόμου προσγείωσης που ήταν εκτός ενεργείας λόγω έργων""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=4                                        Επιβάτες=34&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μεγάλο,ΚΡΑΤΙΚΟΣ ΑΕΡΟΛΙΜΕΝΑΣ ΡΟΔΟΥΝηολόγιο(α): SX-BIGΑεροπλάνοΜεγάλο
08/2009,18/11/2009,"12/10/2008
ΣΥΜΒΑΝ",ΣΥΜΒΑΝ,"<span span="""" uk-icon=""info"" uk-tooltip=""Σύγκρουση πτέρυγας επιβατικού αεροπλάνου με εμπόδιο κατά την τροχοδρόμηση""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=6                                        Επιβάτες=167&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μεγάλο,ΚΡΑΤΙΚΟΣ ΑΕΡΟΛΙΜΕΝΑΣ ΡΟΔΟΥΝηολόγιο(α): HB-JICΑεροπλάνοΜεγάλο
07/2009,11/11/2009,"05/10/2008
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Μη ομαλή επαφή με το διάδρομο κατά την προσγείωση με έξοδο και συντριβή υπερελαφρού αεροπλάνου""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=1&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Υπερελαφρύ,Κρατικός Αερολιμένας Νάξου (LGNX)Νηολόγιο(α): SX-UAAΑεροπλάνοΥπερελαφρύ
06/2009,11/11/2009,"29/06/2008
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Αναγκαστική προσθαλάσσωση αεροπλάνου κατά την προσέγγιση για προσγείωση""><br/></span>",Μικρός τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μικρό / Ελαφρύ,Αεροδρόμιο Τυμπακίου ΚρήτηςΝηολόγιο(α): HA-SUDΑεροπλάνοΜικρό / Ελαφρύ
05/2009,07/07/2009,"22/04/2008
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Συντριβή ελικοπτέρου σε εκπαιδευτική πτήση""><br/></span>",Σοβαρός τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=2                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=2          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Ελικόπτερο,Μικρό / Ελαφρύ,"Περιοχή ΣΦΕΝΔΑΛΗ, ΑΥΛΩΝΑΣΝηολόγιο(α): SX–HNBΕλικόπτεροΜικρό / Ελαφρύ"
04/2009,06/05/2009,"18/03/2007
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Parked airplane destroyed by fire""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=-                                        Επιβάτες=-&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μικρό / Ελαφρύ,"Αεροδρόμιο Πάχης, ΜεγάρωνΝηολόγιο(α): SX-AOIΑεροπλάνοΜικρό / Ελαφρύ"
03/2009,08/04/2009,"21/03/2008
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Προσγείωση αεροπλάνου χωρίς να εκταθούν τα σκέλη προσγείωσης""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=1&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μικρό / Ελαφρύ,"ΑΕΡΟΔΡΟΜΙΟ ΠΑΧΗΣ, ΜΕΓΑΡΩΝΝηολόγιο(α): SX-ΒΝΙΑεροπλάνοΜικρό / Ελαφρύ"
02/2009,01/04/2009,"14/01/2007
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Προσυδάτωση υπερελαφρού αμφίβιου αεροπλάνου σε λίμνη χωρίς την ανάσυρση των τροχών με αποτέλεσμα την ανατροπή του""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=1&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μικρό / Ελαφρύ,ΛΙΜΝΗ ΥΛΙΚΗ ΒΟΙΩΤΙΑΣΝηολόγιο(α): -ΑεροπλάνοΜικρό / Ελαφρύ
01/2009,14/01/2009,"06/01/2007
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Τραυματισμός αλεξιπτωτιστή πλαγιάς στα Θεσπρωτικά Όρη""><br/></span>",Σοβαρός τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=1          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Νηολόγιο(α): -,Αλεξίπτωτο Πλαγιάς,"Θεσπρωτικά όρη ,περιοχή Μελιανά ΠρεβέζηςΝηολόγιο(α): -Αλεξίπτωτο Πλαγιάς"
10/2008,24/11/2008,"12/12/2007
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Σύγκρουση πτέρυγας μεγάλου αεροπλάνου με κολώνα φωτισμού κατά τη στάθμευση""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=10                                        Επιβάτες=59&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μεγάλο,Χώρος στάθμευσης αεροσκαφών του Κρατικού Αερολιμένα ΧΑΝΙΩΝΝηολόγιο(α): PH-AHQΑεροπλάνοΜεγάλο
09/2008,05/11/2008,"13/05/2007
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Τραυματισμός αλεξιπτωτιστή πλαγιάς από πτώση στο έδαφος λίγο μετά την απογείωση""><br/></span>",Σοβαρός τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=1          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Νηολόγιο(α): -,Αλεξίπτωτο Πλαγιάς,ΓΛΥΚΗ ΘΕΣΠΡΩΤΙΑΣΝηολόγιο(α): -Αλεξίπτωτο Πλαγιάς
08/2008,03/09/2008,"09/09/2007
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Προσγείωση αεροπλάνου με τα σκέλη προσγείωσης μη εκτεταμένα""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=1&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μικρό / Ελαφρύ,ΚΡΑΤΙΚΟΣ ΑΕΡΟΛΙΜΕΝΑΣ ΡΟΔΟΥΝηολόγιο(α): N49PPΑεροπλάνοΜικρό / Ελαφρύ
07/2008,09/07/2008,"24/11/2007
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Έξοδος ελαφρού αεροπλάνου από τον τροχόδρομο και πτώση σε αποστραγγιστική τάφρο""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=1&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μικρό / Ελαφρύ,Αεροδρόμιο Μεγάρων (Πάχης)Νηολόγιο(α): SX–AATΑεροπλάνοΜικρό / Ελαφρύ
06/2008,09/08/2008,"18/06/2007
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Υποχώρηση κύριου σκέλους προσγείωσης σε δικινητήριο αεροπλάνο κατά την τροχοδρόμηση""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=2&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μικρό / Ελαφρύ,ΔΙΕΘΝΗΣ ΑΕΡΟΛΙΜΕΝΑΣ ΑΘΗΝΩΝ (LGAV)Νηολόγιο(α): 5B-CJYΑεροπλάνοΜικρό / Ελαφρύ
05/2008,18/02/2008,"25/03/2007
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Συντριβή  υπερελαφρού μοτο-ανεμόπτερου αμέσως μετά την απογείωση κατά την προσπάθεια αναγκαστικής προσγείωσης συνέπεια απώλειας ισχύος κινητήρα λόγω  έλλειψης καυσίμου""><br/></span>",Θανάσιμος τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=1&lt;br&gt;     Θάνατοι Πληρώματος=1                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=1&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Νηολόγιο(α): Ι-8345,Μηχανοκίνητο Ανεμόπτερο,ΠΕΡΙΟΧΗ ΚΩΠΑÏΔΑΣΝηολόγιο(α): Ι-8345Μηχανοκίνητο Ανεμόπτερο
04/2008,06/02/2008,"21/03/2007
ΣΥΜΒΑΝ",ΣΥΜΒΑΝ,"<span span="""" uk-icon=""info"" uk-tooltip=""Πλευρική έξοδος από το διάδρομο προσγείωσης επιβατικού αεροπλάνου αερογραμμών""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=3                                        Επιβάτες=29&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μεγάλο,Κρατικός Αερολιμένας ΡόδουΝηολόγιο(α): SX-BICΑεροπλάνοΜεγάλο
03/2008,22/01/2008,"29/05/2007
ΣΥΜΒΑΝ",ΣΥΜΒΑΝ,"<span span="""" uk-icon=""info"" uk-tooltip=""Αναγκαστική προσγείωση ελικοπτέρου κατά την έρευνα διάσωσης λόγω επαφής πτερυγίων κύριου στροφείου με καλώδια της ΔΕΗ""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=2                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Ελικόπτερο,Μεγάλο,ΠΟΤΑΜΟΣ ΛΟΥΣΙΟΣΝηολόγιο(α): SX-HFDΕλικόπτεροΜεγάλο
02/2008,16/01/2008,"08/07/2007
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Σοβαρός τραυματισμός αλεξιπτωτιστή πλαγιάς από πτώση κατά την προσέγγιση για προσγείωση""><br/></span>",Σοβαρός τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=1          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Νηολόγιο(α): -,Αλεξίπτωτο Πλαγιάς,"Περιοχή όρους Κιθαιρώνα, Χωριό Πλαταιές ΒοιωτίαςΝηολόγιο(α): -Αλεξίπτωτο Πλαγιάς"
01/2008,02/01/2008,"26/08/2007
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Απώλεια ελέγχου ελικοπτέρου και συντριβή κατά την αναγκαστική προσγείωση συνέπεια πυροβολισμού από το έδαφος""><br/></span>",Μικρός τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=3&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Ελικόπτερο,Μικρό / Ελαφρύ,ΖΩΝΙΑΝΑ ΚΡΗΤΗΣΝηολόγιο(α): SX-HJBΕλικόπτεροΜικρό / Ελαφρύ
16/2007,24/10/2007,"31/05/2007
ΣΥΜΒΑΝ",ΣΥΜΒΑΝ,"<span span="""" uk-icon=""info"" uk-tooltip=""Συμβάν διαχωρισμού αεροσκαφών με TCAS RA alert""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=                                        Επιβάτες=&lt;br&gt;     Θάνατοι Πληρώματος=                 Θάνατοι Επιβατών=&lt;br&gt;Σοβ. Τραυμ. πληρώματος=          Σοβ. Τραυμ. επιβατών=&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=         άλλοι Σοβ. Τραυμ.="">
</span>",,,Αεροπλάνο,Μεγάλο,Σημείο αναφοράς KERES (εναέριο χώρο ανατολικά νήσου Σκοπέλου)Νηολόγιο(α): SX-DVCΑεροπλάνοΜεγάλο
15/2007,10/10/2007,"12/01/2007
ΣΥΜΒΑΝ",ΣΥΜΒΑΝ,"<span span="""" uk-icon=""info"" uk-tooltip=""Ζημιά στο μηχανισμό μετάδοσης κίνησης των ποδοστηρίων ελικοπτέρου μετά την προσγείωση και κατά την μεταφορά του στο υπόστεγο""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Ελικόπτερο,Μικρό / Ελαφρύ,Ελικοδρόμιο Κορωπίου ΑττικήςΝηολόγιο(α): SX-HNMΕλικόπτεροΜικρό / Ελαφρύ
14/2007,26/09/2007,"03/01/2007
ΣΥΜΒΑΝ",ΣΥΜΒΑΝ,"<span span="""" uk-icon=""info"" uk-tooltip=""Προσγείωση επιβατικού αεροπλάνου αερογραμμών με ένδειξη μη ασφάλισης του δεξιού κύριου σκέλους προσγείωσης""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=6                                        Επιβάτες=63&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μεγάλο,ΤΕΛΙΚΗ ΠΡΟΣΕΓΓΙΣΗΣ ΣΤΟΝ Διεθνή Αερολιμένα ΑθηνώνΝηολόγιο(α): SX-BTOΑεροπλάνοΜεγάλο
13/2007,12/09/2007,"02/07/2007
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Σύγκρουση παρκαρισμένων ελαφρών αεροπλάνων συνέπεια ρεύματος καυσαερίων απογείωσης μεγάλου αεριωθούμενου επιβατικού""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=0                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μικρό / Ελαφρύ,Κρατικός Αερολιμένας ΚέρκυραςΝηολόγιο(α): SX-AJTΑεροπλάνοΜικρό / Ελαφρύ
12/2007,11/10/2007,"19/10/2006
ΣΥΜΒΑΝ",ΣΥΜΒΑΝ,"<span span="""" uk-icon=""info"" uk-tooltip=""Ζημιά επιβατικού αεροπλάνου από επίγεια μονάδα παροχής ηλεκτρικής ισχύος""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=                                        Επιβάτες=&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μεγάλο,Δάπεδο στάθμευσης αεροσκαφών στον Διεθνή Αερολιμένα ΑθηνώνΝηολόγιο(α): SX-BIRΑεροπλάνοΜεγάλο
11/2007,27/06/2007,"18/02/2006
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Αναγκαστική προσγείωση ανεμοπτέρου σε χαράδρα του όρους Πάρνηθα""><br/></span>",Μικρός τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=1&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Νηολόγιο(α): SX-130,Ανεμόπτερο,Χαράδρα όρους Πάρνηθα ΑττικήςΝηολόγιο(α): SX-130Ανεμόπτερο
10/2007,20/06/2007,"14/01/2006
ΣΥΜΒΑΝ",ΣΥΜΒΑΝ,"<span span="""" uk-icon=""info"" uk-tooltip=""Μη ηθελημένη ενεργοποίηση του συστήματος απόρριψης του οπισθίου κώνου του αεροσκάφους στην πίστα""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=7                                        Επιβάτες=69&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μεγάλο,Διεθνής Αερολιμένας Αθηνών «ΕΛ. ΒΕΝΙΖΕΛΟΣ»Νηολόγιο(α): I - DAWJΑεροπλάνοΜεγάλο
